Name,Party,State,Address,Phone Number,Web Page,Contact Link
"Akaka, Daniel K.",D,HI,141 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6361,http://akaka.senate.gov,http://akaka.senate.gov/email-senator-akaka.cfm
"Alexander, Lamar",R,TN,455 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-4944,http://alexander.senate.gov/,http://alexander.senate.gov/public/index.cfm?p=Email
"Ayotte, Kelly",R,NH,188 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3324,http://ayotte.senate.gov ,http://ayotte.senate.gov/contact_form.cfm
"Barrasso, John",R,WY,307 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-6441,http://barrasso.senate.gov,http://barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm
"Baucus, Max",D,MT,511 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2651,http://baucus.senate.gov,http://baucus.senate.gov/contact/emailForm.cfm?subj=issue
"Begich, Mark",D,AK,144 RUSSELL SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-3004,http://begich.senate.gov,http://begich.senate.gov/public/index.cfm?p=EmailSenator
"Bennet, Michael F.",D,CO,702 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5852,http://bennet.senate.gov,http://bennet.senate.gov/contact/
"Bingaman, Jeff",D,NM,703 HART SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5521,http://bingaman.senate.gov,http://bingaman.senate.gov/contact/
"Blumenthal, Richard",D,CT,G55 DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-2823,http://blumenthal.senate.gov,http://blumenthal.senate.gov/contact/
"Blunt, Roy",R,MO,B40C DIRKSEN SENATE OFFICE BUILDING WASHINGTON DC 20510,(202) 224-5721,http://blunt.senate.gov,http://blunt.senate.gov/public/index.cfm/contact
